"행정구역별(시군구)","성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"대전광역시","계",195544,185695,106225,65561,2482,8549,2878,9849,205165,195212,109052,71448,2657,8909,3146,9953,228842,217646,123309,77841,2962,9895,3639,11196,240932,228604,126247,84638,3268,10844,3607,12328,249006,236961,126915,91825,3380,11286,3555,12045
"대전광역시","남자",99760,93590,59785,27368,1050,3746,1641,6170,104803,98572,61828,29998,1108,3836,1802,6231,116257,109214,68861,32744,1270,4329,2010,7043,123276,115627,71864,35532,1456,4781,1994,7649,127218,119828,72629,38795,1501,4959,1944,7390
"대전광역시","여자",95784,92105,46440,38193,1432,4803,1237,3679,100362,96640,47224,41450,1549,5073,1344,3722,112585,108432,54448,45097,1692,5566,1629,4153,117656,112977,54383,49106,1812,6063,1613,4679,121788,117133,54286,53030,1879,6327,1611,4655
"울산광역시","계",110236,102790,56581,36563,1664,5693,2289,7446,116015,108147,57186,40954,1679,5886,2442,7868,122848,113734,58222,44955,1835,6401,2321,9114,133061,122141,61261,49273,2080,6988,2539,10920,137096,126373,61715,52827,2138,7198,2495,10723
"울산광역시","남자",61404,56481,33472,17775,887,3012,1335,4923,64303,59177,33955,19881,855,3082,1404,5126,68070,62347,34774,21890,958,3381,1344,5723,73677,66817,36812,23699,1109,3744,1453,6860,75797,69101,37219,25498,1122,3807,1455,6696
"울산광역시","여자",48832,46309,23109,18788,777,2681,954,2523,51712,48970,23231,21073,824,2804,1038,2742,54778,51387,23448,23065,877,3020,977,3391,59384,55324,24449,25574,971,3244,1086,4060,61299,57272,24496,27329,1016,3391,1040,4027
"세종특별자치시","계",35763,33567,14134,18507,324,387,215,2196,39078,36744,13951,21798,352,384,259,2334,43577,41118,16427,23575,422,397,297,2459,45706,42963,14319,27380,503,494,267,2743,50561,47730,15816,30580,532,525,277,2831
"세종특별자치시","남자",18967,17713,8265,8907,181,229,131,1254,20572,19254,8233,10460,186,228,147,1318,22724,21352,9613,11116,216,238,169,1372,23696,22130,8546,12855,271,301,157,1566,26446,24833,9640,14429,296,307,161,1613
"세종특별자치시","여자",16796,15854,5869,9600,143,158,84,942,18506,17490,5718,11338,166,156,112,1016,20853,19766,6814,12459,206,159,128,1087,22010,20833,5773,14525,232,193,110,1177,24115,22897,6176,16151,236,218,116,1218
"경기도","계",1197586,1043487,459260,399539,22264,141049,21375,154099,1290893,1117985,465670,454999,24138,151223,21955,172908,1406010,1203321,483489,506053,26303,165750,21726,202689,1543100,1314069,507431,570413,29276,184022,22927,229031,1634147,1392440,522701,619118,31239,195974,23408,241707
"경기도","남자",647041,547730,271007,179859,9965,73697,13202,99311,696194,586773,276511,206395,10939,79297,13631,109421,758076,631884,288471,230510,11983,87518,13402,126192,835849,693975,306125,261538,13597,98375,14340,141874,882118,734758,316742,283979,14595,104762,14680,147360
"경기도","여자",550545,495757,188253,219680,12299,67352,8173,54788,594699,531212,189159,248604,13199,71926,8324,63487,647934,571437,195018,275543,14320,78232,8324,76497,707251,620094,201306,308875,15679,85647,8587,87157,752029,657682,205959,335139,16644,91212,8728,94347
"강원도","계",206295,195636,119735,64271,4887,2865,3878,10659,208857,198552,116376,70385,5025,2950,3816,10305,231371,219879,128087,78815,5472,3255,4250,11492,245012,231916,129982,87947,6001,3622,4364,13096,254441,240905,131726,94752,6292,3809,4326,13536
"강원도","남자",104082,97094,62951,28407,2161,1379,2196,6988,103974,97412,60754,30880,2205,1394,2179,6562,115678,108457,67028,35100,2467,1547,2315,7221,122646,114447,68322,39225,2708,1780,2412,8199,127341,119033,69893,42088,2841,1840,2371,8308
