"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일
"특성별(1)",특성별(2),구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화
"특성별(1)",특성별(2),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점)
"가구주연령",50대,30.7,69.3,4.7,16.4,54.5,24.2,0.2,2.99,18.1,81.9,7.6,18.8,53.2,19.7,0.7,2.87,44.4,55.6,13.4,21.2,54.0,10.9,0.5,2.64,29.6,70.4,10.0,16.3,51.1,19.5,3.0,2.89,22.0,78.0,9.5,20.1,51.2,18.0,1.2,2.81,34.1,65.9,11.0,23.2,55.3,9.3,1.2,2.67
"가구주연령",60대 이상,47.5,52.5,7.1,19.8,54.3,17.5,1.2,2.86,33.7,66.3,11.0,20.5,53.1,15.3,0.2,2.73,53.1,46.9,16.9,20.9,53.3,8.5,0.4,2.55,49.5,50.5,9.0,19.4,50.5,20.7,0.4,2.84,37.2,62.8,11.3,17.2,55.2,15.3,1.0,2.78,50.4,49.6,13.4,21.1,54.1,10.4,1.0,2.65
"가구주최종학력",중졸 이하,65.0,35.0,3.8,9.0,70.7,16.5,0.0,3.00,45.1,54.9,11.0,13.8,66.8,8.4,0.0,2.73,66.2,33.8,10.5,21.0,59.2,7.9,1.4,2.69,69.5,30.5,17.3,18.5,53.4,10.8,0.0,2.58,49.1,50.9,6.7,13.5,65.0,12.6,2.2,2.90,62.9,37.1,15.2,24.8,49.2,10.8,0.0,2.56
"가구주최종학력",고졸,37.8,62.2,5.2,22.7,51.6,19.3,1.2,2.89,24.8,75.2,9.9,24.9,47.9,16.5,0.9,2.74,45.8,54.2,14.8,25.0,50.0,10.2,0.0,2.56,41.5,58.5,10.3,19.6,51.0,18.6,0.5,2.79,32.3,67.7,11.2,19.8,52.8,15.4,0.8,2.75,44.9,55.1,12.5,22.2,57.5,7.3,0.5,2.61
"가구주최종학력",전문대졸 이상,19.3,80.7,5.5,17.2,49.9,25.6,1.8,3.01,14.3,85.7,8.1,19.6,52.0,19.7,0.6,2.85,29.8,70.2,9.4,19.3,56.3,14.1,0.8,2.78,19.7,80.3,6.2,17.0,53.2,20.3,3.4,2.98,18.6,81.4,9.1,21.2,54.4,14.6,0.8,2.77,29.2,70.8,12.2,21.4,53.3,11.9,1.2,2.68
"가구주 직업",관리/전문/사무직,17.4,82.6,5.7,17.1,49.5,25.3,2.3,3.01,12.6,87.4,7.9,20.3,52.8,18.3,0.5,2.83,27.1,72.9,9.0,20.3,54.6,15.2,0.9,2.79,19.2,80.8,6.3,18.2,52.7,19.9,2.9,2.95,20.3,79.7,8.7,22.6,53.1,14.9,0.7,2.76,29.0,71.0,11.7,23.1,52.3,12.0,0.9,2.67
"가구주 직업",서비스/판매직,30.3,69.7,4.8,20.8,52.9,21.5,0.0,2.91,20.6,79.4,10.4,24.8,46.8,17.0,0.9,2.73,37.0,63.0,12.0,25.7,53.4,8.9,0.0,2.59,33.6,66.4,5.7,18.5,52.9,19.6,3.4,2.97,24.8,75.2,7.8,18.5,58.6,14.1,1.0,2.82,39.4,60.6,12.3,17.7,59.5,9.6,0.9,2.69
"가구주 직업",기계/농림어업/단순노무,38.1,61.9,4.8,18.1,54.9,20.0,2.2,2.97,24.1,75.9,8.9,19.4,50.7,19.9,1.1,2.85,46.2,53.8,14.6,17.7,59.3,7.6,0.8,2.62,45.5,54.5,14.5,16.8,47.8,20.6,0.3,2.75,32.9,67.1,13.4,16.8,52.0,16.4,1.4,2.76,48.5,51.5,15.6,20.4,54.4,8.6,0.9,2.59
"가구주 직업",기타,52.1,47.9,5.6,23.3,47.2,23.8,0.0,2.89,38.9,61.1,8.9,19.3,56.9,14.9,0.0,2.78,64.4,35.6,14.4,20.6,43.5,21.5,0.0,2.72,34.1,65.9,8.6,14.9,60.3,15.3,0.9,2.85,30.2,69.8,13.0,24.3,50.7,12.0,0.0,2.62,35.1,64.9,10.3,29.7,51.1,7.8,1.1,2.60
"월평균가구소득",200만원 미만,42.0,58.0,2.8,25.9,52.0,18.2,1.1,2.89,29.5,70.5,9.7,21.7,54.0,13.4,1.2,2.75,44.0,56.0,14.2,27.6,48.3,9.8,0.0,2.54,56.7,43.3,7.8,14.5,62.3,15.1,0.4,2.86,44.5,55.5,8.7,10.7,62.0,16.8,1.8,2.92,59.8,40.2,17.8,19.0,48.5,13.6,1.1,2.61
"월평균가구소득",200~400만원 미만,32.9,67.1,8.0,16.9,51.6,21.2,2.3,2.93,21.5,78.5,9.0,24.4,47.2,18.6,0.9,2.78,41.7,58.3,9.8,20.7,57.9,10.9,0.7,2.72,31.6,68.4,9.0,16.7,48.5,21.5,4.3,2.95,26.5,73.5,10.5,19.3,54.5,15.3,0.4,2.76,35.8,64.2,14.0,18.9,56.5,9.9,0.7,2.64
"월평균가구소득",400~600만원 미만,23.7,76.3,4.9,19.9,51.3,23.1,0.8,2.95,17.0,83.0,6.3,18.8,54.6,19.6,0.8,2.90,34.4,65.6,9.9,17.8,59.4,12.4,0.5,2.76,24.5,75.5,6.8,18.7,55.7,17.9,0.9,2.87,19.6,80.4,8.7,20.9,55.9,13.7,0.8,2.77,31.0,69.0,9.7,22.5,58.6,8.7,0.6,2.68
"월평균가구소득",600만원 이상,20.3,79.7,3.9,15.0,50.1,29.2,1.7,3.10,15.0,85.0,11.4,19.2,50.9,18.6,0.0,2.77,33.2,66.8,12.6,21.7,47.5,17.2,1.0,2.72,23.0,77.0,6.8,18.9,50.8,20.6,2.9,2.94,22.3,77.7,10.5,25.8,47.0,15.0,1.7,2.72,36.4,63.6,13.1,27.3,42.9,14.5,2.1,2.65
